,0,1,2,3
0,Alph_Acet_Acet_lova,Alph_Acet_Acet_past,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
1,Alph_Acet_Acet_past,Alph_Holo_Holo_cary,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
2,Alph_Acet_Acet_past,Alph_Holo_Holo_acum,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
3,Alph_Acet_Acet_past,Alph_Rhod_Rhod_mari,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
4,Alph_Acet_Acet_past,Alph_Rhod_Rhod_azot,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
5,Alph_Acet_Acet_lova,Alph_Holo_Holo_cary,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
6,Alph_Acet_Acet_lova,Alph_Holo_Holo_acum,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
7,Alph_Acet_Acet_lova,Alph_Rhod_Rhod_mari,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
8,Alph_Acet_Acet_lova,Alph_Rhod_Rhod_azot,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
9,Alph_Holo_Holo_acum,Alph_Holo_Holo_cary,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
10,Alph_Holo_Holo_cary,Alph_Rhod_Rhod_mari,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
11,Alph_Holo_Holo_cary,Alph_Rhod_Rhod_azot,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
12,Alph_Holo_Holo_acum,Alph_Rhod_Rhod_mari,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
13,Alph_Holo_Holo_acum,Alph_Rhod_Rhod_azot,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
14,Alph_Rhod_Rhod_azot,Alph_Rhod_Rhod_mari,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
15,Alph_Acet_Acet_lova,Alph_Acet_Acet_past,Gamm_Ente_Esch_coli,Gamm_Ente_Pseu_arab
16,Alph_Acet_Acet_past,Alph_Holo_Holo_cary,Gamm_Ente_Esch_coli,Gamm_Ente_Pseu_arab
