,0,1
0,Gamm_Ente_Esch_coli,Alph_Rhod_Rhod_azot
1,Gamm_Ente_Esch_coli,Gamm_Ente_Idio_seos
2,Gamm_Ente_Esch_coli,Alph_Acet_Acet_past
3,Gamm_Ente_Esch_coli,Gamm_Ente_Pseu_phen
4,Gamm_Ente_Esch_coli,Alph_Holo_Holo_cary
5,Gamm_Ente_Esch_coli,Gamm_Card_Wohl_larv
6,Gamm_Ente_Esch_coli,Alph_Rhod_Rhod_mari
7,Gamm_Ente_Esch_coli,Gamm_Ente_Yers_pseu
8,Gamm_Ente_Esch_coli,Alph_Acet_Acet_lova
9,Gamm_Ente_Esch_coli,Gamm_Ente_Pseu_arab
10,Gamm_Ente_Esch_coli,Alph_Holo_Holo_acum
11,Gamm_Ente_Esch_coli,Gamm_Ente_Idio_pisc
12,Alph_Rhod_Rhod_azot,Gamm_Ente_Idio_seos
13,Alph_Rhod_Rhod_azot,Alph_Acet_Acet_past
14,Alph_Rhod_Rhod_azot,Gamm_Ente_Pseu_phen
15,Alph_Rhod_Rhod_azot,Alph_Holo_Holo_cary
16,Alph_Rhod_Rhod_azot,Gamm_Card_Wohl_larv
17,Alph_Rhod_Rhod_azot,Alph_Rhod_Rhod_mari
18,Alph_Rhod_Rhod_azot,Gamm_Ente_Yers_pseu
19,Alph_Rhod_Rhod_azot,Alph_Acet_Acet_lova
20,Alph_Rhod_Rhod_azot,Gamm_Ente_Pseu_arab
21,Alph_Rhod_Rhod_azot,Alph_Holo_Holo_acum
22,Alph_Rhod_Rhod_azot,Gamm_Ente_Idio_pisc
23,Gamm_Ente_Idio_seos,Alph_Acet_Acet_past
24,Gamm_Ente_Idio_seos,Gamm_Ente_Pseu_phen
25,Gamm_Ente_Idio_seos,Alph_Holo_Holo_cary
26,Gamm_Ente_Idio_seos,Gamm_Card_Wohl_larv
27,Gamm_Ente_Idio_seos,Alph_Rhod_Rhod_mari
28,Gamm_Ente_Idio_seos,Gamm_Ente_Yers_pseu
29,Gamm_Ente_Idio_seos,Alph_Acet_Acet_lova
30,Gamm_Ente_Idio_seos,Gamm_Ente_Pseu_arab
31,Gamm_Ente_Idio_seos,Alph_Holo_Holo_acum
32,Gamm_Ente_Idio_seos,Gamm_Ente_Idio_pisc
33,Alph_Acet_Acet_past,Gamm_Ente_Pseu_phen
34,Alph_Acet_Acet_past,Alph_Holo_Holo_cary
35,Alph_Acet_Acet_past,Gamm_Card_Wohl_larv
36,Alph_Acet_Acet_past,Alph_Rhod_Rhod_mari
37,Alph_Acet_Acet_past,Gamm_Ente_Yers_pseu
38,Alph_Acet_Acet_past,Alph_Acet_Acet_lova
39,Alph_Acet_Acet_past,Gamm_Ente_Pseu_arab
40,Alph_Acet_Acet_past,Alph_Holo_Holo_acum
41,Alph_Acet_Acet_past,Gamm_Ente_Idio_pisc
42,Gamm_Ente_Pseu_phen,Alph_Holo_Holo_cary
43,Gamm_Ente_Pseu_phen,Gamm_Card_Wohl_larv
44,Gamm_Ente_Pseu_phen,Alph_Rhod_Rhod_mari
45,Gamm_Ente_Pseu_phen,Gamm_Ente_Yers_pseu
46,Gamm_Ente_Pseu_phen,Alph_Acet_Acet_lova
47,Gamm_Ente_Pseu_phen,Gamm_Ente_Pseu_arab
48,Gamm_Ente_Pseu_phen,Alph_Holo_Holo_acum
49,Gamm_Ente_Pseu_phen,Gamm_Ente_Idio_pisc
50,Alph_Holo_Holo_cary,Gamm_Card_Wohl_larv
51,Alph_Holo_Holo_cary,Alph_Rhod_Rhod_mari
52,Alph_Holo_Holo_cary,Gamm_Ente_Yers_pseu
53,Alph_Holo_Holo_cary,Alph_Acet_Acet_lova
54,Alph_Holo_Holo_cary,Gamm_Ente_Pseu_arab
55,Alph_Holo_Holo_cary,Alph_Holo_Holo_acum
56,Alph_Holo_Holo_cary,Gamm_Ente_Idio_pisc
57,Gamm_Card_Wohl_larv,Alph_Rhod_Rhod_mari
58,Gamm_Card_Wohl_larv,Gamm_Ente_Yers_pseu
59,Gamm_Card_Wohl_larv,Alph_Acet_Acet_lova
60,Gamm_Card_Wohl_larv,Gamm_Ente_Pseu_arab
61,Gamm_Card_Wohl_larv,Alph_Holo_Holo_acum
62,Gamm_Card_Wohl_larv,Gamm_Ente_Idio_pisc
63,Alph_Rhod_Rhod_mari,Gamm_Ente_Yers_pseu
64,Alph_Rhod_Rhod_mari,Alph_Acet_Acet_lova
65,Alph_Rhod_Rhod_mari,Gamm_Ente_Pseu_arab
66,Alph_Rhod_Rhod_mari,Alph_Holo_Holo_acum
67,Alph_Rhod_Rhod_mari,Gamm_Ente_Idio_pisc
68,Gamm_Ente_Yers_pseu,Alph_Acet_Acet_lova
69,Gamm_Ente_Yers_pseu,Gamm_Ente_Pseu_arab
70,Gamm_Ente_Yers_pseu,Alph_Holo_Holo_acum
71,Gamm_Ente_Yers_pseu,Gamm_Ente_Idio_pisc
72,Alph_Acet_Acet_lova,Gamm_Ente_Pseu_arab
73,Alph_Acet_Acet_lova,Alph_Holo_Holo_acum
74,Alph_Acet_Acet_lova,Gamm_Ente_Idio_pisc
75,Gamm_Ente_Pseu_arab,Alph_Holo_Holo_acum
76,Gamm_Ente_Pseu_arab,Gamm_Ente_Idio_pisc
77,Alph_Holo_Holo_acum,Gamm_Ente_Idio_pisc
